id_sub,t_sub,lifetime,cause,level
16290483.0,34200.881781052,1.3972675550030544,0,-9
16610191.0,34203.87899164,0.4759365740028443,0,-4
16657800.0,34204.354928214,0.12177187999623129,0,-8
16667397.0,34204.476700094,0.2872226950057666,0,-11
16692138.0,34204.763922789,0.34033812299458077,0,0
16723399.0,34205.104818539,0.001010441999824252,0,0
16723613.0,34205.107097083,0.0010065830065286718,0,0
16723877.0,34205.109400899,0.001065805001417175,0,0
16723342.0,34205.104260912,0.4096870889989077,0,-2
16763343.0,34205.513948001,0.3742755620041862,0,-2
16797917.0,34205.888223563,0.2633141920014168,0,-4
16723916.0,34205.109754612,1.9039456710015656,0,0
16732821.0,34205.197780635,2.0347546200064244,0,0
16451737.0,34202.279048607,4.993022413997096,0,-10
16866136.0,34207.272071021,0.04009337100433186,0,-1
16871412.0,34207.36638007,0.00463808100175811,0,6
16871956.0,34207.373100011,0.0012437590048648417,0,6
16872105.0,34207.375662567,0.0012414390002959408,0,6
16872293.0,34207.377749553,0.0010715509997680783,0,6
16872503.0,34207.380005427,0.001258795993635431,0,6
16872671.0,34207.382304824,0.0009974009954021312,0,6
16872798.0,34207.384556587,0.0010533360036788508,0,6
16872941.0,34207.386942276,0.0012174309958936647,0,6
16873081.0,34207.389391885,0.0010615989958751015,0,6
16873178.0,34207.391611763,0.0010261249990435317,0,6
16873297.0,34207.393882487,0.0011828979986603372,0,6
16873380.0,34207.396241817,0.0012918889988213778,0,6
16873531.0,34207.398645656,0.0007698100016568787,0,6
16867608.0,34207.312164392,0.0975203169946326,0,-2
16811014.0,34206.151537755,1.5667732649963,0,0
16935131.0,34209.105767688,0.001172614996903576,0,1
16935276.0,34209.108253458,0.0007957060006447136,0,1
16935447.0,34209.110162671,0.000696028997481335,0,1
16935626.0,34209.112219909,0.0010792249959195033,0,1
16935758.0,34209.114384683,0.001052620995324105,0,1
16935890.0,34209.116624582,0.0010614269995130599,0,1
16935991.0,34209.118881715,0.0007054249945213087,0,1
16936049.0,34209.120707231,0.0010998860016115941,0,1
16936152.0,34209.122948939,0.0011167329939780757,0,1
16936284.0,34209.125231445,0.0006312679979600944,0,1
16936385.0,34209.12717182,0.0010644979993230663,0,1
16936505.0,34209.129471266,0.0011154809981235303,0,1
16936594.0,34209.131772695,0.0010704500018619,0,1
16936684.0,34209.134019937,0.0010163119950448163,0,1
16936799.0,34209.13635252,0.0010868910030694678,0,1
16936940.0,34209.138694375,0.0007795769997755997,0,1
16830499.0,34206.555393547,2.758159457000147,0,0
16887475.0,34207.71831102,1.9914192639989778,0,0
16954459.0,34209.709730284,0.05694570600462612,0,-1
16956634.0,34209.76667599,0.02065589599806117,0,0
16958151.0,34209.787331886,0.72787943000003,0,-2
17004982.0,34210.515211316,0.1912627209967468,0,-3
17017091.0,34210.706474037,0.2039443450048566,0,-4
16681306.0,34204.652306988,7.51279769300163,0,-3
17094470.0,34212.37437678,0.0017522640046081506,0,-17
17094575.0,34212.376037666,0.0014440279992413707,0,0
16943725.0,34209.339457717,3.122256302005553,0,0
16873976.0,34207.409684709,5.120365397000569,0,-3
17097634.0,34212.487961941,0.08913989300344838,0,-17
17099230.0,34212.530050106,0.14790794200234814,0,0
17103292.0,34212.677958048,0.5093773830012651,0,-1
16984035.0,34210.206486354,4.96616812999855,0,0
16929385.0,34208.996027789,11.21717825900123,0,0
17121862.0,34213.324261399,6.997195149997424,0,0
17524292.0,34226.025401005,0.0021294190009939484,0,0
17523948.0,34226.018708882,1.9878930499980925,0,0
17556978.0,34227.238645979,1.3703638540027896,0,0
17118179.0,34213.186801146,15.424762835995352,0,-16
17654460.0,34228.613137713,0.0008776359973126091,0,0
17669020.0,34229.064982046,0.002224129995738622,0,0
17358208.0,34220.233163353,9.091142621000472,0,0
17678938.0,34229.34512286,0.005413680999481585,0,0
17119109.0,34213.22784958,16.625198695001018,0,0
17170140.0,34215.180453936,14.74436261899973,0,0
17693590.0,34229.853048275,0.1607081600013771,0,0
17679258.0,34229.356252519,1.0950325560042984,0,0
17695670.0,34229.932946536,2.587251089003985,0,0
17791392.0,34232.521812825,0.052945379000448156,0,-4
17720413.0,34230.478073253,2.1772266609987128,0,0
17700167.0,34230.013756435,2.9219751810014714,0,0
17808169.0,34233.075680004,0.009769143995072227,0,-3
17802947.0,34232.935731616,0.28609771299670683,0,0
17796697.0,34232.672145731,0.5515809350035852,0,-4
17813325.0,34233.221829329,0.034799942004610784,0,-3
17814130.0,34233.256629271,0.15159454699460184,0,-6
17822817.0,34233.408223818,0.013441044000501279,0,-4
17823745.0,34233.417830238,0.05605898799694842,0,-3
17831626.0,34233.619144977,0.009080178999283817,0,-3
17824285.0,34233.43258895,0.19714503099385183,0,0
17830543.0,34233.613685684,0.12504822999471799,0,3
17832110.0,34233.629733981,0.1400428440028918,0,-6
17654389.0,34228.611036074,5.774399050002103,0,0
17695622.0,34229.931412705,5.074054759999854,0,-1
17851126.0,34234.16404396,3.326699341996573,0,-4
17963067.0,34237.492337446,0.0031741450002300553,0,-10
17866270.0,34234.384484467,5.624263288998918,0,-3
17889188.0,34235.012386337,5.0138064099955955,0,0
17678897.0,34229.343638816,10.946221178004635,0,-1
17169116.0,34215.152124895,26.037424520996865,0,0
18040192.0,34240.011692902,1.9975686489997315,0,0
17866342.0,34234.387132284,11.12608996200288,0,0
18178865.0,34245.513338443,0.44142013199598296,0,0
18178858.0,34245.513325389,0.45327915999951074,0,0
18179205.0,34245.515058317,0.519395926996367,0,0
18178856.0,34245.513309352,0.7052410530013731,0,-19
